State,Year,Residence_Type,NFHS_Version,Women_With_Bank_Account_Perc,Women_With_Mobile_Phone_Perc,Women_Literacy_Perc,Men_Literacy_Perc,Child_Full_Vaccination_Perc,Child_Stunting_Perc,Child_Anaemia_Perc,Women_Anaemia_Perc,Institutional_Births_Perc,Clean_Fuel_Usage_Perc,Improved_Sanitation_Perc,Health_Insurance_Coverage_Perc,Infant_Mortality_Rate,Spousal_Violence_Perc
Jharkhand,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,79.2,65.2,80.1,92.0,67.8,26.8,65.5,61.1,89.1,71.0,75.9,41.6,22.2,25.3
Karnataka,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,87.7,53.4,71.0,87.0,86.5,37.2,67.1,50.3,96.2,69.3,68.5,28.0,27.8,44.4
Karnataka,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,90.2,74.2,85.1,90.5,80.0,32.2,62.8,43.9,98.3,94.5,84.4,28.2,21.4,44.5
Kerala,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,78.2,86.9,97.5,97.4,78.0,26.4,39.8,35.8,99.8,66.3,98.5,55.4,5.2,9.9
Kerala,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.9,86.2,99.1,99.2,77.6,20.1,38.9,37.0,99.7,78.5,99.0,47.2,3.5,9.9
Ladakh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,88.7,81.2,76.6,94.2,91.9,31.1,95.1,93.5,94.0,71.3,34.8,12.1,17.4,19.0
Ladakh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,87.2,80.8,77.7,91.9,,28.2,84.1,89.5,99.1,97.2,74.7,26.7,,11.7
Lakshadweep,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,67.0,80.1,96.8,96.3,,35.6,36.1,23.7,100.0,24.7,100.0,66.7,,
Lakshadweep,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,66.9,85.1,96.4,100.0,87.0,30.7,45.5,26.4,99.5,68.5,99.7,58.4,,1.0
Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,73.3,31.4,59.2,78.7,77.3,37.3,72.7,55.8,89.2,23.6,59.2,36.8,43.5,28.7
Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.5,58.8,81.5,88.3,76.5,30.1,72.5,51.5,95.8,84.3,81.2,41.4,33.9,26.4
Maharashtra,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,70.9,43.1,79.5,91.5,74.7,35.5,70.7,56.1,93.1,65.4,69.4,19.9,23.7,28.6
Maharashtra,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,75.0,68.2,90.2,94.6,71.7,34.9,66.3,52.0,96.7,95.6,75.1,20.1,22.6,21.0
Manipur,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,70.7,68.2,84.8,94.0,65.9,25.1,42.2,28.8,73.9,60.7,67.5,15.3,31.1,42.8
Manipur,"Calendar Year (Jan - Dec), 2019",Urban,NFHS-5,78.6,77.8,92.1,96.9,75.1,20.1,44.0,30.5,92.5,86.4,60.6,12.3,12.2,35.0
Meghalaya,"Calendar Year (Jan - Dec), 2019",Rural,NFHS-5,68.2,64.3,85.5,81.5,64.7,48.2,46.0,54.3,54.3,21.7,83.3,66.5,33.6,14.2
